"imgthumbnail href","imgthumbnail src","brand-label","brand-label href","product-name","in-stock","stock-qty","list-attribute","list-attribute 2","list-attribute 3","list-attribute 4","list-attribute 5","rrp","has-savings-price","price","has-vat-price","label 2","buttons"
                                var obj_1096328 = JSON.parse(JSON.stringify($t_item));"
"https://www.officemonster.co.uk/chair-mats/cleartex-clear-1200x1500mm-chair-mat-for-hard-floors-kf73650--4","https://cdn3.evostore.io/productimages/vow_premium/l/fl74135.jpg","Cleartex","https://www.officemonster.co.uk/searchbrand?querybrand=1285&name=Cleartex","Cleartex Advantagemat Phthalate Free PVC Chair Mat For Hard Floors 1500x1200x22mm Clear FL1215225EV","In Stock","46","Any special delivery instructions or site restrictions must be advised on your order prior to despatch; delivery failures due to missing instructions will incur a fee based on the order size","Colour: Clear","Eco-friendly: 20% to 40% recycled material","Hard floor protection for home and office chairs","Large orders will require assistance to offload the goods at point of delivery, please ensure you have capacity to accept delivery on this basis","RRP
                                    £147.17","28","£106.09","£127.31","Product Code: FL74135","$t_item = {};
                                $t_item.item_id = 1006621;
                                $t_item.item_sku = ""FL74135"";
                                $t_item.item_catalog_id = 1008;
                                $t_item.item_supplier_id = 1001;
                                $t_item.item_is_multiple = 0;
                                $t_item.item_minimum_order = 1;
                                $t_item.item_maximum_order = 0;
                                $t_item.item_is_contract = 0;
                                $t_item.item_name = ""Cleartex Advantagemat Phthalate Free PVC Chair Mat For Hard Floors 1500x1200x22mm Clear FL1215225EV"";
                                $t_item.item_image_thumbnail_path = 'https://cdn3.evostore.io/productimages/vow_premium/m/';
                                $t_item.item_image_thumbnail = 'fl74135.jpg';
                                $t_item.item_image_xl = '';
                                $t_item.item_image_xl_path = '';
                                $t_item.item_cost_center_id = 0;
                                $t_item.pack_uom = ""1"";
                                $t_item.item_department_id = 0;
                                $t_item.item_pack = ""1"";
                                $t_item.item_images = [];
                                $t_item.item_price_type = 0;
                                $t_item.item_price_unit = 1;
                                $t_item.modifiers = JSON.parse('null');

                                var obj_1096330 = JSON.parse(JSON.stringify($t_item));"
"https://www.officemonster.co.uk/chair-mats/ecotex-evolutionmat-carpet-chair-mat-rectangular-120x90cm-fl74151--4","https://cdn3.evostore.io/productimages/vow_premium/l/fl74151.jpg","Ecotex","https://www.officemonster.co.uk/searchbrand?querybrand=1468&name=Ecotex","Floortex Ecotex Evolutionmat Rectangular Chair Mat for Carpets up to 9mm Thick 1200x900x22mm FL74151","In Stock","20","100% PVC free and 100% recyclable","50% of our manufacturing site?s energy comes from on-site and external renewable sources","Colour: Clear","Dimensions: 1200x900x22mm","Gripper back for use on standard pile carpets up to 9mm thick including underlay","RRP
                                    £100.45","17","£82.88","£99.46","Product Code: FL74151","$t_item = {};
                                $t_item.item_id = 1006624;
                                $t_item.item_sku = ""FL74151"";
                                $t_item.item_catalog_id = 1008;
                                $t_item.item_supplier_id = 1001;
                                $t_item.item_is_multiple = 0;
                                $t_item.item_minimum_order = 1;
                                $t_item.item_maximum_order = 0;
                                $t_item.item_is_contract = 0;
                                $t_item.item_name = ""Floortex Ecotex Evolutionmat Rectangular Chair Mat for Carpets up to 9mm Thick 1200x900x22mm FL74151"";
                                $t_item.item_image_thumbnail_path = 'https://cdn3.evostore.io/productimages/vow_premium/m/';
                                $t_item.item_image_thumbnail = 'fl74151.jpg';
                                $t_item.item_image_xl = '';
                                $t_item.item_image_xl_path = '';
                                $t_item.item_cost_center_id = 0;
                                $t_item.pack_uom = ""1"";
                                $t_item.item_department_id = 0;
                                $t_item.item_pack = ""1"";
                                $t_item.item_images = [];
                                $t_item.item_price_type = 0;
                                $t_item.item_price_unit = 1;
                                $t_item.modifiers = JSON.parse('null');

